"movie_title","director_name","title_year","color","num_critic_for_reviews","duration","gross","genres","language","country","content_rating","budget","imdb_score"
"Ghost Rider ","Mark Steven Johnson",2007,"Color",276,123,115802596,"Action|Fantasy|Thriller","English","USA","PG-13",110000000,5.2
"Closer ","Mike Nichols",2004,"Color",212,98,33987757,"Drama|Romance","English","USA","R",27000000,7.3
"The Soloist ","Joe Wright",2009,"Color",210,117,31670931,"Biography|Drama|Music","English","UK","PG-13",60000000,6.7
"Year One ","Harold Ramis",2009,"Color",170,100,43337279,"Adventure|Comedy","English","USA","PG-13",60000000,4.9
"S.W.A.T. ","Clark Johnson",2003,"Color",144,117,116643346,"Action|Adventure|Crime|Thriller","English","USA","PG-13",80000000,6
"The Good Night ","Jake Paltrow",2007,"Color",50,93,20380,"Comedy|Drama|Fantasy|Music|Romance","English","USA","R",15000000,5.9
"Intolerable Cruelty ","Joel Coen",2003,"Color",161,100,35096190,"Comedy|Crime|Romance","English","USA","PG-13",60000000,6.3
"Almost Famous ","Cameron Crowe",2000,"Color",149,152,32522352,"Adventure|Comedy|Drama|Music","English","USA","R",60000000,7.9
"Sunshine ","Danny Boyle",2007,"Color",308,107,3675072,"Adventure|Sci-Fi|Thriller","English","UK","R",26000000,7.3
"Malibu's Most Wanted ","John Whitesell",2003,"Color",37,86,34308901,"Comedy|Crime","English","USA","PG-13",16000000,5.1
"The Tempest ","Julie Taymor",2010,"Color",92,110,263365,"Comedy|Drama|Fantasy|Romance","English","USA","PG-13",20000000,5.4
"Blue Car ","Karen Moncrieff",2002,"Color",44,88,464126,"Drama","English","USA","R",1000000,6.7
"Deadpool ","Tim Miller",2016,"Color",579,108,363024263,"Action|Adventure|Comedy|Romance|Sci-Fi","English","USA","R",58000000,8.1
"Corky Romano ","Rob Pritts",2001,"Color",62,86,23978402,"Comedy|Crime","English","USA","PG-13",11000000,4.6
"Fantasia 2000 ","James Algar",1999,"Color",129,74,60507228,"Animation|Family|Fantasy|Music","English","USA","G",80000000,7.3
"Divine Secrets of the Ya-Ya Sisterhood ","Callie Khouri",2002,"Color",93,116,69586544,"Drama","English","USA","PG-13",27000000,6
"The Perfect Host ","Nick Tomnay",2010,"Color",112,93,48430,"Comedy|Crime|Thriller","English","USA","R",500000,6.8
"Gravity ","Alfonso Cuarón",2013,"Color",738,91,274084951,"Adventure|Drama|Sci-Fi|Thriller","English","UK","PG-13",100000000,7.8
"Hard Candy ","David Slade",2005,"Color",231,104,1007962,"Crime|Drama|Thriller","English","USA","R",950000,7.1
"A Nightmare on Elm Street 3: Dream Warriors ","Chuck Russell",1987,"Color",131,88,44793200,"Action|Fantasy|Horror|Thriller","English","USA","X",4500000,6.6
"August Rush ","Kirsten Sheridan",2007,"Color",148,114,31655091,"Drama|Music","English","USA","PG",30000000,7.5
"Valley of the Heart's Delight ","Tim Boxell",2006,"Color",3,100,118666,"Drama","English","USA","",2500000,6.6
"Marie Antoinette ","Sofia Coppola",2006,"Color",260,123,15962471,"Biography|Drama|History|Romance","English","USA","PG-13",40000000,6.4
"Antitrust ","Peter Howitt",2001,"Color",123,109,10965209,"Action|Crime|Drama|Thriller","English","USA","PG-13",30000000,6.1
"Licence to Kill ","John Glen",1989,"Color",117,133,34667015,"Action|Adventure|Thriller","English","UK","PG-13",32000000,6.6
"The Expendables 3 ","Patrick Hughes",2014,"Color",320,131,39292022,"Action|Adventure|Thriller","English","USA","PG-13",90000000,6.1
"Good Bye Lenin! ","Wolfgang Becker",2003," Black and White",153,121,4063859,"Drama|Romance","German","Germany","R",4800000,7.7
"I Love You, Beth Cooper ","Chris Columbus",2009,"Color",107,102,14793904,"Comedy|Romance","English","Canada","PG-13",18000000,5.3
"Whipped ","Peter M. Cohen",2000,"Color",48,82,4142507,"Comedy|Romance","English","USA","R",3000000,4.4
"Return to Never Land ","Robin Budd",2002,"Color",80,72,48423368,"Adventure|Animation|Family|Fantasy","English","USA","G",20000000,5.8
"Thinner ","Tom Holland",1996,"Color",73,93,15171475,"Fantasy|Horror","English","USA","R",8500000,5.7
"Wag the Dog ","Barry Levinson",1997,"Color",130,97,43022524,"Comedy|Drama","English","USA","R",15000000,7.1
"Thunderball ","Terence Young",1965,"Color",129,130,63600000,"Action|Adventure|Thriller","English","UK","Approved",9000000,7
"The Killer Inside Me ","Michael Winterbottom",2010,"Color",225,109,214966,"Crime|Drama|Thriller","English","USA","R",13000000,6.1
"The Call ","Brad Anderson",2013,"Color",285,94,51872378,"Crime|Thriller","English","USA","R",13000000,6.7
"The Lost City ","Andy Garcia",2005,"Color",52,144,2483955,"Drama|Romance","English","USA","R",9600000,6.7
"Shaun of the Dead ","Edgar Wright",2004,"Color",246,99,13464388,"Comedy|Horror","English","UK","R",4000000,8
"Disturbing Behavior ","David Nutter",1998,"Color",96,84,17411331,"Horror|Mystery|Sci-Fi|Thriller","English","Australia","R",15000000,5.5
"From Paris with Love ","Pierre Morel",2010,"Color",203,92,23324666,"Action|Thriller","English","France","R",52000000,6.5
"Jackie Brown ","Quentin Tarantino",1997,"Color",140,154,39647595,"Crime|Thriller","English","USA","R",12000000,7.5
"Bad Santa ","Terry Zwigoff",2003,"Color",195,98,60057639,"Comedy|Crime|Drama","English","USA","R",18000000,7.1
"The Omega Code ","Robert Marcarelli",1999,"Color",39,100,12610552,"Action|Adventure|Fantasy|Sci-Fi|Thriller","English","USA","PG-13",7500000,3.5
"The Sessions ","Ben Lewin",2012,"Color",337,95,5997134,"Biography|Comedy|Drama|Romance","English","USA","R",1000000,7.2
"Payback ","Brian Helgeland",1999,"Color",143,90,81517441,"Action|Crime|Drama|Thriller","English","USA","R",50000000,7.1
"Unbreakable ","M. Night Shyamalan",2000,"Color",294,106,94999143,"Drama|Mystery|Sci-Fi|Thriller","English","USA","PG-13",75000000,7.2
"White Fang ","Randal Kleiser",1991,"Color",10,107,34793160,"Adventure|Drama","English","USA","PG",14000000,6.7
"The Last Time I Committed Suicide ","Stephen Kay",1997,"Color",12,92,12836,"Biography|Drama","English","USA","R",4000000,5.8
"Safe Men ","John Hamburg",1998,"Color",33,88,21210,"Comedy|Crime","English","USA","R",1000000,6.1
"Good Night, and Good Luck. ","George Clooney",2005," Black and White",351,93,31501218,"Biography|Drama|History","English","USA","PG",7500000,7.5
"Entrapment ","Jon Amiel",1999,"Color",138,113,87704396,"Action|Crime|Romance|Thriller","English","USA","PG-13",66000000,6.2
"The Last Emperor ","Bernardo Bertolucci",1987,"Color",75,219,43984230,"Biography|Drama|History","English","China","PG-13",23000000,7.8
"Sherrybaby ","Laurie Collyer",2006,"Color",78,96,198407,"Drama","English","USA","R",2000000,6.6
"42 ","Brian Helgeland",2013,"Color",216,128,95001343,"Biography|Drama|Sport","English","USA","PG-13",40000000,7.5
"The Astronaut Farmer ","Michael Polish",2006,"Color",113,104,10996440,"Adventure|Drama|Sci-Fi","English","USA","PG",13000000,6.3
"Midnight in Paris ","Woody Allen",2011,"Color",487,94,56816662,"Comedy|Fantasy|Romance","English","Spain","PG-13",17000000,7.7
"Get Over It ","Tommy O'Haver",2001,"Color",63,87,11560259,"Comedy|Romance","English","USA","PG-13",22000000,5.8
"The Emperor's New Groove ","Mark Dindal",2000,"Color",141,78,89296573,"Adventure|Animation|Comedy|Family|Fantasy","English","USA","G",100000000,7.3
"Chocolat ","Lasse Hallström",2000,"Color",152,121,71309760,"Drama|Romance","English","UK","PG-13",25000000,7.3
"Where the Wild Things Are ","Spike Jonze",2009,"Color",333,101,77222184,"Adventure|Drama|Family|Fantasy","English","Germany","PG",100000000,6.8
"Charlie Bartlett ","Jon Poll",2007,"Color",146,97,3950294,"Comedy|Drama|Romance","English","USA","R",12000000,7
"Red Planet ","Antony Hoffman",2000,"Color",145,106,17473245,"Action|Sci-Fi|Thriller","English","USA","PG-13",70000000,5.7
"Flatliners ","Joel Schumacher",1990,"Color",49,115,61490000,"Drama|Horror|Sci-Fi|Thriller","English","USA","R",26000000,6.6
"Journey 2: The Mysterious Island ","Brad Peyton",2012,"Color",178,94,103812241,"Action|Adventure|Comedy|Family|Fantasy|Sci-Fi","English","USA","PG",79000000,5.8
"Flashdance ","Adrian Lyne",1983,"Color",51,95,94900000,"Drama|Music|Romance","English","USA","R",4000000,6.1
"The Terminal ","Steven Spielberg",2004,"Color",151,128,77032279,"Comedy|Drama","English","USA","PG-13",60000000,7.3
"Harley Davidson and the Marlboro Man ","Simon Wincer",1991,"Color",30,98,7434726,"Action|Crime|Drama|Thriller|Western","English","USA","R",23000000,6
"Winter in Wartime ","Martin Koolhoven",2008,"Color",111,103,542860,"Drama|History|War","Dutch","Netherlands","R",4000000,7.1
"The Spectacular Now ","James Ponsoldt",2013,"Color",220,95,6851969,"Comedy|Drama|Romance","English","USA","R",2500000,7.1
"One Hour Photo ","Mark Romanek",2002,"Color",207,96,31597131,"Drama|Thriller","English","USA","R",12000000,6.8
"Far from Heaven ","Todd Haynes",2002,"Color",181,107,15854988,"Drama|Romance","English","USA","PG-13",13500000,7.4
"Dragonfly ","Tom Shadyac",2002,"Color",117,104,30063805,"Drama|Fantasy|Mystery|Romance|Thriller","English","USA","PG-13",60000000,6.1
"Insurgent ","Robert Schwentke",2015,"Color",263,119,129995817,"Adventure|Sci-Fi|Thriller","English","USA","PG-13",110000000,6.3
"The Replacement Killers ","Antoine Fuqua",1998,"Color",105,96,18967571,"Action|Crime|Thriller","English","USA","R",30000000,6.1
"Thirteen ","Catherine Hardwicke",2003,"Color",126,100,4599680,"Drama","English","USA","R",1500000,6.8
"Monkeybone ","Henry Selick",2001,"Color",74,93,5409517,"Animation|Comedy|Fantasy","English","USA","PG-13",75000000,4.7
"The Great Gatsby ","Baz Luhrmann",2013,"Color",490,143,144812796,"Drama|Romance","English","Australia","PG-13",105000000,7.3
"Finding Nemo ","Andrew Stanton",2003,"Color",301,100,380838870,"Adventure|Animation|Comedy|Family","English","USA","G",94000000,8.2
"The Wizard of Oz ","Victor Fleming",1939," Black and White",213,102,22202612,"Adventure|Family|Fantasy|Musical","English","USA","Passed",2800000,8.1
"Dave Chappelle's Block Party ","Michel Gondry",2005,"Color",114,100,11694528,"Comedy|Documentary|Music","English","USA","R",3000000,7.2
"The Cold Light of Day ","Mabrouk El Mechri",2012,"Color",119,93,3749061,"Action|Thriller","English","USA","PG-13",20000000,4.9
"Jane Got a Gun ","Gavin O'Connor",2016,"Color",123,98,1512815,"Action|Drama|Western","English","USA","R",25000000,5.8
"Need for Speed ","Scott Waugh",2014,"Color",327,132,43568507,"Action|Crime|Drama|Thriller","English","USA","PG-13",66000000,6.5
"Without a Paddle ","Steven Brill",2004,"Color",94,95,58156435,"Adventure|Comedy|Mystery","English","USA","PG-13",19000000,5.9
"Facing the Giants ","Alex Kendrick",2006,"Color",31,111,10174663,"Drama|Sport","English","USA","PG",100000,6.7
"Halloween: The Curse of Michael Myers ","Joe Chappelle",1995,"Color",123,93,15126948,"Horror|Thriller","English","USA","R",5000000,4.9
"Super Size Me ","Morgan Spurlock",2004,"Color",193,100,11529368,"Comedy|Documentary|Drama","English","USA","PG",65000,7.3
"Ouija ","Stiles White",2014,"Color",183,89,50820940,"Fantasy|Horror","English","USA","PG-13",5000000,4.4
"Charlie St. Cloud ","Burr Steers",2010,"Color",117,99,31136950,"Drama|Fantasy|Romance","English","USA","PG-13",44000000,6.5
"Thir13en Ghosts ","Steve Beck",2001,"Color",149,91,41867960,"Horror","English","USA","R",20000000,5.5
"Bound ","Lana Wachowski",1996,"Color",120,109,3798532,"Crime|Drama|Romance|Thriller","English","USA","R",4500000,7.4
"The Visual Bible: The Gospel of John ","Philip Saville",2003,"Color",25,125,4068087,"Biography|Drama|History","English","Canada","PG-13",17000000,7.7
"Young Frankenstein ","Mel Brooks",1974," Black and White",129,106,86300000,"Comedy","English","USA","PG",2800000,8
"Parental Guidance ","Andy Fickman",2012,"Color",139,105,77264926,"Comedy|Family","English","USA","PG",25000000,6.1
"Sea of Love ","Harold Becker",1989,"Color",43,113,58571513,"Crime|Drama|Mystery|Thriller","English","USA","R",19000000,6.8
"Deuce Bigalow: European Gigolo ","Mike Bigelow",2005,"Color",98,83,22264487,"Comedy","English","USA","R",22000000,4.6
"Fruitvale Station ","Ryan Coogler",2013,"Color",327,85,16097842,"Biography|Drama|Romance","English","USA","R",900000,7.5
"Jingle All the Way ","Brian Levant",1996,"Color",81,94,60573641,"Comedy|Family","English","USA","PG",60000000,5.4
"Hurricane Streets ","Morgan J. Freeman",1997," Black and White",17,86,334041,"Crime|Drama|Romance","English","USA","R",500000,6.5
"The Mechanic ","Simon West",2011,"Color",252,93,29113588,"Action|Crime|Thriller","English","USA","R",40000000,6.6
"Carrie ","Kimberly Peirce",2013,"Color",359,100,35266619,"Drama|Fantasy|Horror","English","USA","R",30000000,5.9
"The Cabin in the Woods ","Drew Goddard",2012,"Color",634,95,42043633,"Fantasy|Horror|Mystery|Thriller","English","USA","R",30000000,7
"The Watch ","Akiva Schaffer",2012,"Color",265,102,34350553,"Action|Comedy|Sci-Fi","English","USA","R",68000000,5.7
"Jawbreaker ","Darren Stein",1999,"Color",49,87,3071947,"Comedy|Crime|Thriller","English","USA","R",3500000,5.4
"The Life Before Her Eyes ","Vadim Perelman",2007,"Color",78,90,303439,"Drama|Mystery|Thriller","English","USA","R",8000000,6.4
"Metropolitan ","Whit Stillman",1990,"Color",71,98,2938208,"Comedy|Drama|Romance","English","USA","PG-13",225000,7.5
"Land of the Dead ","George A. Romero",2005," Black and White",252,97,20433940,"Horror","English","Canada","R",15000000,6.2
"Elizabethtown ","Cameron Crowe",2005,"Color",190,123,26838389,"Comedy|Drama|Romance","English","USA","PG-13",57000000,6.4
"Old School ","Todd Phillips",2003,"Color",123,88,74608545,"Comedy","English","USA","R",24000000,7.2
"Hoodwinked Too! Hood vs. Evil ","Mike Disa",2011,"Color",77,86,10134754,"Animation|Comedy|Family","English","USA","PG",30000000,4.8
"Along Came Polly ","John Hamburg",2004,"Color",108,90,87856565,"Comedy|Romance","English","USA","PG-13",42000000,5.9
"Tomcats ","Gregory Poirier",2001,"Color",75,95,13558739,"Comedy","English","USA","R",11000000,5.3
"An Ideal Husband ","Oliver Parker",1999,"Color",105,97,18535191,"Comedy|Romance","English","UK","PG-13",14000000,6.9
"The Juror ","Brian Gibson",1996,"Color",28,118,44834712,"Drama|Thriller","English","USA","R",44000000,5.6
"The Adventures of Elmo in Grouchland ","Gary Halvorson",1999,"Color",44,73,11634458,"Adventure|Comedy|Family|Fantasy|Musical","English","USA","G",17000000,5.8
"Redbelt ","David Mamet",2008,"Color",158,99,2344847,"Drama|Sport","English","USA","R",7000000,6.8
"Envy ","Barry Levinson",2004,"Color",76,99,12181484,"Comedy","English","USA","PG-13",40000000,4.8
"Mercury Rising ","Harold Becker",1998,"Color",79,111,32940507,"Action|Crime|Drama|Thriller","English","USA","R",60000000,6.1
"An Alan Smithee Film: Burn Hollywood Burn ","Arthur Hiller",1997,"Color",29,86,15447,"Comedy","English","USA","R",10000000,3.5
"Rio ","Carlos Saldanha",2011,"Color",240,96,143618384,"Adventure|Animation|Comedy|Family|Musical","English","USA","G",90000000,7
"Dolphin Tale 2 ","Charles Martin Smith",2014,"Color",54,107,42019483,"Drama|Family","English","USA","PG",36000000,6.4
"Shattered Glass ","Billy Ray",2003,"Color",129,99,2207975,"Drama|History","English","USA","PG-13",6000000,7.2
"Dr. No ","Terence Young",1962,"Color",184,110,16067035,"Action|Adventure|Thriller","English","UK","Approved",1100000,7.3
"Finding Forrester ","Gus Van Sant",2000,"Color",137,136,51768623,"Drama","English","USA","PG-13",43000000,7.3
"Shooting Fish ","Stefan Schwartz",1997,"Color",43,99,302204,"Comedy|Crime|Romance","English","UK","PG",3000000,6.6
"He's Just Not That Into You ","Ken Kwapis",2009,"Color",161,129,93952276,"Comedy|Drama|Romance","English","USA","PG-13",40000000,6.4
"The Sea Inside ","Alejandro Amenábar",2004,"Color",157,125,2086345,"Biography|Drama|Romance","Spanish","Spain","PG-13",10000000,8.1
"Pontypool ","Bruce McDonald",2008,"Color",178,95,3478,"Fantasy|Horror","English","Canada","Not Rated",1500000,6.7
"Detention of the Dead ","Alex Craig Mann",2012,"Color",29,87,1332,"Comedy|Horror","English","USA","Not Rated",500000,4.6
"Dolphin Tale ","Charles Martin Smith",2011,"Color",131,113,72279690,"Drama|Family","English","USA","PG",37000000,6.9
"Dickie Roberts: Former Child Star ","Sam Weisman",2003,"Color",75,98,22734486,"Comedy","English","USA","PG-13",17000000,5.6
"McFarland, USA ","Niki Caro",2015,"Color",113,129,44469602,"Biography|Drama|Sport","English","USA","PG",17000000,7.4
"Sarah's Key ","Gilles Paquet-Brenner",2010,"Color",136,111,7691700,"Drama|War","French","France","PG-13",10000000,7.5
"Scream 2 ","Wes Craven",1997,"Color",195,120,101334374,"Horror|Mystery","English","USA","R",24000000,6.1
"Dressed to Kill ","Brian De Palma",1980,"Color",121,104,31899000,"Mystery|Romance|Thriller","English","USA","X",6500000,7.1
"The Pianist ","Roman Polanski",2002," Black and White",193,150,32519322,"Biography|Drama|War","English","France","R",35000000,8.5
"The Duchess ","Saul Dibb",2008,"Color",194,110,13823741,"Biography|Drama|History|Romance","English","UK","PG-13",13500000,6.9
"I Am Sam ","Jessie Nelson",2001,"Color",129,132,40270895,"Drama","English","USA","PG-13",22000000,7.6
"Lawrence of Arabia ","David Lean",1962,"Color",181,227,6000000,"Adventure|Biography|Drama|History|War","English","UK","PG",15000000,8.4
"In the Bedroom ","Todd Field",2001,"Color",179,138,35918429,"Crime|Drama","English","USA","R",1700000,7.5
"Mississippi Mermaid ","François Truffaut",1969,"Color",35,123,26893,"Crime|Drama|Romance","French","France","R",1600000,7.2
"Transsiberian ","Brad Anderson",2008,"Color",150,111,2203641,"Crime|Drama|Mystery|Thriller","English","Spain","R",15000000,6.7
"Blood Diamond ","Edward Zwick",2006,"Color",166,143,57366262,"Adventure|Drama|Thriller","English","Germany","R",100000000,8
"Something Borrowed ","Luke Greenfield",2011,"Color",128,112,39026186,"Comedy|Drama|Romance","English","USA","PG-13",35000000,5.9
"The Lion King ","Roger Allers",1994,"Color",186,73,422783777,"Adventure|Animation|Drama|Family|Musical","English","USA","G",45000000,8.5
"The Adventures of Rocky & Bullwinkle ","Des McAnuff",2000,"Color",49,92,26000610,"Adventure|Animation|Comedy|Family|Fantasy","English","USA","PG",76000000,4.1
"The Wild Thornberrys Movie ","Cathy Malkasian",2002,"Color",38,85,39880476,"Adventure|Animation|Comedy|Family|Fantasy","English","USA","PG",25000000,5.2
"Before Sunrise ","Richard Linklater",1995,"Color",121,105,5400000,"Drama|Romance","English","USA","R",2500000,8.1
"Fighting Tommy Riley ","Eddie O'Flaherty",2004,"Color",13,109,5199,"Drama|Sport","English","USA","R",200000,6.6
"House at the End of the Street ","Mark Tonderai",2012,"Color",224,101,31607598,"Drama|Horror|Thriller","English","Canada","PG-13",6900000,5.6
"Star Wars: Episode VI - Return of the Jedi ","Richard Marquand",1983,"Color",197,134,309125409,"Action|Adventure|Fantasy|Sci-Fi","English","USA","PG",32500000,8.4
"Face/Off ","John Woo",1997,"Color",155,138,112225777,"Action|Crime|Sci-Fi|Thriller","English","USA","R",80000000,7.3
"Gothika ","Mathieu Kassovitz",2003,"Color",207,98,59588068,"Horror|Mystery|Thriller","English","USA","R",40000000,5.8
"Halloween II ","Rob Zombie",2009,"Color",220,119,33386128,"Horror","English","USA","R",15000000,4.9
"Arthur and the Invisibles ","Luc Besson",2006,"Color",101,94,15131330,"Adventure|Animation|Family|Fantasy","English","France","PG",86000000,6
"The Truman Show ","Peter Weir",1998,"Color",213,103,125603360,"Comedy|Drama|Sci-Fi","English","USA","PG",60000000,8.1
"But I'm a Cheerleader ","Jamie Babbit",1999,"Color",99,85,2199853,"Comedy|Drama","English","USA","R",1200000,6.6
"Promised Land ","Gus Van Sant",2012,"Color",242,106,7556708,"Drama","English","USA","R",15000000,6.6
"Come Early Morning ","Joey Lauren Adams",2006,"Color",36,97,117560,"Drama|Romance","English","USA","R",6000000,6.2
"The Sound of Music ","Robert Wise",1965,"Color",119,174,163214286,"Biography|Drama|Family|Musical|Romance","English","USA","G",8200000,8
"ParaNorman ","Chris Butler",2012,"Color",328,92,55994557,"Adventure|Animation|Comedy|Family|Fantasy","English","USA","PG",60000000,7
"Blades of Glory ","Josh Gordon",2007,"Color",191,93,118153533,"Comedy|Sport","English","USA","PG-13",61000000,6.3
"Celebrity ","Woody Allen",1998," Black and White",114,113,5032496,"Comedy|Drama","English","USA","R",12000000,6.3
"I Can Do Bad All by Myself ","Tyler Perry",2009,"Color",36,113,51697449,"Comedy|Drama","English","USA","PG-13",13000000,4.1
"The Secret Life of Bees ","Gina Prince-Bythewood",2008,"Color",109,110,37766350,"Drama","English","USA","PG-13",11000000,7.3
"A Sound of Thunder ","Peter Hyams",2005,"Color",113,102,1891821,"Action|Adventure|Horror|Sci-Fi|Thriller","English","UK","PG-13",52000000,4.2
"Star Wars: Episode IV - A New Hope ","George Lucas",1977,"Color",282,125,460935665,"Action|Adventure|Fantasy|Sci-Fi","English","USA","PG",11000000,8.7
"3000 Miles to Graceland ","Demian Lichtenstein",2001,"Color",113,125,15738632,"Action|Comedy|Crime|Thriller","English","USA","R",42000000,5.9
"The Mask ","Chuck Russell",1994,"Color",57,114,119938730,"Action|Comedy|Crime|Fantasy","English","USA","PG-13",18000000,6.9
"The Weather Man ","Gore Verbinski",2005,"Color",156,102,12469811,"Comedy|Drama","English","USA","R",22000000,6.6
"RocknRolla ","Guy Ritchie",2008,"Color",209,114,5694401,"Action|Crime|Thriller","English","UK","R",18000000,7.3
"Zoolander ","Ben Stiller",2001,"Color",135,90,45162741,"Comedy","English","Germany","PG-13",28000000,6.6
"Taken 3 ","Olivier Megaton",2014,"Color",222,115,89253340,"Action|Thriller","English","France","PG-13",48000000,6
"Glory ","Edward Zwick",1989,"Color",60,122,26830000,"Drama|History|War","English","USA","R",18000000,7.9
"Sunshine State ","John Sayles",2002,"Color",68,141,3064356,"Drama|Romance","English","USA","PG-13",5600000,6.9
"Think Like a Man Too ","Tim Story",2014,"Color",52,106,65182182,"Comedy|Romance","English","USA","PG-13",24000000,5.7
"Bottle Shock ","Randall Miller",2008,"Color",109,110,4040588,"Comedy|Drama","English","USA","PG-13",5000000,6.8
"Hustle & Flow ","Craig Brewer",2005,"Color",159,116,22201636,"Crime|Drama|Music","English","USA","R",8000000,7.4
"Equilibrium ","Kurt Wimmer",2002,"Color",146,107,1190018,"Action|Drama|Sci-Fi|Thriller","English","USA","R",20000000,7.5
"The Big Year ","David Frankel",2011,"Color",108,100,7204138,"Comedy","English","USA","PG",41000000,6.2
"Now You See Me 2 ","Jon M. Chu",2016,"Color",196,129,64685359,"Action|Adventure|Comedy|Crime|Mystery|Thriller","English","USA","PG-13",90000000,6.9
"Hollywood Shuffle ","Robert Townsend",1987,"Color",21,81,5228617,"Comedy","English","USA","R",100000,7
"Star Trek III: The Search for Spock ","Leonard Nimoy",1984,"Color",110,105,76400000,"Action|Adventure|Sci-Fi","English","USA","PG",17000000,6.6
"Jeepers Creepers ","Victor Salva",2001,"Color",190,90,37470017,"Horror|Mystery","English","Germany","R",10000000,6.1
"The Lost World: Jurassic Park ","Steven Spielberg",1997,"Color",177,129,229074524,"Action|Adventure|Sci-Fi","English","USA","PG-13",73000000,6.5
"Just Looking ","Jason Alexander",1999,"Color",20,97,39852,"Comedy|Drama","English","USA","R",3000000,6.7
"Home for the Holidays ","Jodie Foster",1995,"Color",45,103,17518220,"Comedy|Drama|Romance","English","USA","PG-13",20000000,6.6
"All or Nothing ","Mike Leigh",2002,"Color",81,121,112935,"Drama","English","UK","R",9000000,7.6
"The Exorcism of Emily Rose ","Scott Derrickson",2005,"Color",233,122,75072454,"Drama|Horror|Thriller","English","USA","PG-13",20000000,6.7
"The Boondock Saints II: All Saints Day ","Troy Duffy",2009,"Color",91,138,10269307,"Action|Crime|Thriller","English","USA","R",8000000,6.3
"Saw VI ","Kevin Greutert",2009,"Color",156,92,27669413,"Horror|Mystery","English","Canada","R",11000000,6
"Beginners ","Mike Mills",2010,"Color",261,105,5776314,"Comedy|Drama|Romance","English","USA","R",3200000,7.2
"Vampire in Brooklyn ","Wes Craven",1995,"Color",34,100,19900000,"Comedy|Fantasy|Horror|Romance","English","USA","R",20000000,4.5
"Mirror Mirror ","Tarsem Singh",2012,"Color",382,106,64933670,"Adventure|Comedy|Drama|Family|Fantasy","English","USA","PG",85000000,5.6
"The Last Song ","Julie Anne Robinson",2010,"Color",123,107,62933793,"Drama|Family|Music|Romance","English","USA","PG",20000000,5.8
"Town & Country ","Peter Chelsom",2001,"Color",62,104,6712451,"Comedy|Romance","English","New Line","R",90000000,4.4
"People I Know ","Daniel Algrant",2002,"Color",42,100,121972,"Crime|Drama|Mystery","English","USA","R",22000000,5.5
"Frost/Nixon ","Ron Howard",2008,"Color",302,122,18593156,"Drama","English","USA","R",35000000,7.7
"I Spit on Your Grave ","Steven R. Monroe",2010,"Color",225,105,92401,"Horror|Thriller","English","USA","R",2000000,6.3
"Failure to Launch ","Tom Dey",2006,"Color",143,95,88658172,"Comedy|Romance","English","USA","PG-13",50000000,5.6
"Save the Last Dance ","Thomas Carter",2001,"Color",101,112,91038276,"Drama|Music|Romance","English","USA","PG-13",13000000,6.1
"The Rules of Attraction ","Roger Avary",2002,"Color",143,110,6525762,"Comedy|Drama|Romance","English","USA","R",4000000,6.7
"The Trials of Darryl Hunt ","Ricki Stern",2006,"Color",11,106,1111,"Crime|Documentary","English","USA","PG-13",200000,7.7
"Monster's Ball ","Marc Forster",2001,"Color",153,112,31252964,"Drama|Romance","English","USA","R",4000000,7.1
"Slither ","James Gunn",2006,"Color",251,95,7774730,"Comedy|Horror|Sci-Fi","English","Canada","R",15500000,6.5
"Midnight Run ","Martin Brest",1988,"Color",77,126,38413606,"Action|Comedy|Crime|Thriller","English","USA","R",30000000,7.6
"The New World ","Terrence Malick",2005,"Color",222,150,12712093,"Biography|Drama|History|Romance","English","USA","PG-13",30000000,6.7
"Everest ","Baltasar Kormákur",2015,"Color",361,121,43247140,"Adventure|Biography|Drama|History|Sport|Thriller","English","UK","PG-13",55000000,7.1
"Tomorrow Never Dies ","Roger Spottiswoode",1997,"Color",160,119,125332007,"Action|Adventure|Thriller","English","UK","PG-13",110000000,6.5
"Scooby-Doo 2: Monsters Unleashed ","Raja Gosnell",2004,"Color",94,93,84185387,"Adventure|Comedy|Family|Fantasy|Horror|Mystery","English","USA","PG",80000000,4.9
"The Texas Chain Saw Massacre ","Tobe Hooper",1974,"Color",277,88,30859000,"Horror|Thriller","English","USA","R",83532,7.5
"Resident Evil: Apocalypse ","Alexander Witt",2004,"Color",191,98,50740078,"Action|Horror|Sci-Fi|Thriller","English","Germany","R",45000000,6.2
"Against the Ropes ","Charles S. Dutton",2004,"Color",76,110,5881504,"Biography|Drama|Romance|Sport","English","USA","PG-13",39000000,5.3
"Talladega Nights: The Ballad of Ricky Bobby ","Adam McKay",2006,"Color",164,122,148213377,"Action|Comedy|Sport","English","USA","PG-13",73000000,6.6
"Prom Night ","Nelson McCormick",2008,"Color",146,89,43818159,"Horror|Mystery","English","USA","PG-13",20000000,3.9
"George of the Jungle ","Sam Weisman",1997,"Color",53,92,105263257,"Action|Adventure|Comedy|Family|Romance","English","USA","PG",55000000,5.4
"Shanghai Surprise ","Jim Goddard",1986,"Color",21,97,2315683,"Adventure|Crime|Drama|Romance","English","UK","PG-13",17000000,3
"Yogi Bear ","Eric Brevig",2010,"Color",143,80,100169068,"Adventure|Animation|Comedy|Family","English","USA","PG",80000000,4.6
"Water for Elephants ","Francis Lawrence",2011,"Color",279,120,58700247,"Drama|Romance","English","USA","PG-13",38000000,6.9
